,UTS Depot,Bus,Route,Run,Operator,Unscheduled PO ,Scheduled PO,Actual PO,PO Diff,PO Depot ,Scheduled PI,Actual PI,PI diff,Depot PI
5004,JG,472,,B8-125,699192,,2024-01-06 12:26:00,2024-01-06 12:25:00,-00:01,JG,2024-01-06 14:37:00,2024-01-06 15:00:00,+00:23,JG
5005,JG,472,,B16-409,146032,,2024-01-06 15:45:00,2024-01-06 15:47:00,+00:02,JG,2024-01-06 21:11:00,2024-01-06 21:07:00,-00:03,JG
5006,JG,473,B67,B68-954,42783,,2024-01-06 04:59:00,2024-01-06 04:51:00,-00:07,JG,2024-01-06 13:54:00,2024-01-06 13:55:00,+00:01,JG
5007,JG,473,B8,B8-133,45363,,2024-01-06 14:15:00,2024-01-06 14:16:00,+00:01,JG,2024-01-06 19:24:00,2024-01-06 19:47:00,+00:23,JG
5008,JG,478,B11,B11-303,285008,,2024-01-06 04:59:00,2024-01-06 05:02:00,+00:03,JG,2024-01-06 08:26:00,2024-01-06 12:44:00,+04:18,JG
5009,JG,478,,B11-307,45741,,2024-01-06 08:04:00,,,,2024-01-06 11:44:00,,,
5010,JG,478,,B11-303,285008,,2024-01-06 09:04:00,,,,2024-01-06 12:44:00,,,
5011,JG,478,,B11-305,529116,,2024-01-06 12:10:00,2024-01-06 12:58:00,+00:48,JG,2024-01-06 15:56:00,2024-01-06 16:54:00,+00:58,JG
5012,JG,478,B4,B4-22,536051,,2024-01-06 17:45:00,2024-01-06 17:42:00,-00:02,JG,2024-01-06 20:49:00,2024-01-07 01:49:00,+05:00,JG
5013,JG,478,,B4-22,536051,,2024-01-06 21:43:00,,,,2024-01-07 01:48:00,,,
5014,JG,479,,B8-142,46388,,2024-01-06 21:10:00,2024-01-06 20:58:00,-00:11,JG,2024-01-07 01:38:00,2024-01-06 22:22:00,-03:15,JG
5015,JG,479,B43,B43-454,125075,,2024-01-06 04:22:00,2024-01-06 04:59:00,+00:37,JG,2024-01-06 06:22:00,2024-01-06 11:54:00,+05:32,JG
5016,JG,479,,B43-454,125075,,2024-01-06 07:02:00,,,,2024-01-06 12:01:00,,,
5017,JG,479,B63,B63-660,38152,,2024-01-06 11:21:00,2024-01-06 12:07:00,+00:46,JG,2024-01-06 16:47:00,2024-01-06 16:44:00,-00:02,JG
5018,JG,479,,B8-142,46388,,2024-01-06 17:10:00,2024-01-06 17:14:00,+00:04,JG,2024-01-06 20:32:00,2024-01-07 01:42:00,+05:10,JG
5019,JG,482,B61,B61-805,397060,,2024-01-06 05:10:00,2024-01-06 05:11:00,+00:01,JG,2024-01-06 08:31:00,2024-01-06 13:09:00,+04:38,JG
5020,JG,482,,B61-805,397060,,2024-01-06 09:25:00,,,,2024-01-06 13:19:00,,,
5021,JG,483,B4,B4-10,809132,,2024-01-06 10:05:00,2024-01-06 10:09:00,+00:04,JG,2024-01-06 15:52:00,2024-01-06 16:02:00,+00:10,JG
5022,JG,483,B69,B6769-912,47936,,2024-01-06 16:39:00,2024-01-06 16:47:00,+00:08,JG,2024-01-06 20:51:00,2024-01-06 21:17:00,+00:26,JG
5023,JG,484,,B61-801,964093,,2024-01-06 23:30:00,,,,2024-01-07 05:02:00,,,
5024,JG,484,,B61-801,923034,,2024-01-06 23:30:00,2024-01-06 00:23:00,+00:53,JG,2024-01-07 05:02:00,2024-01-06 07:19:00,+02:17,JG
5025,JG,484,,B61-801,964093,,2024-01-06 05:50:00,,,,2024-01-06 07:29:00,,,
5026,JG,484,B63,B63-675,874010,,2024-01-06 11:37:00,2024-01-06 11:35:00,-00:01,JG,2024-01-06 15:11:00,2024-01-06 12:55:00,-02:15,JG
5027,JG,484,B63,B63-675,874010,,2024-01-06 15:54:00,2024-01-06 12:56:00,-02:57,JG,2024-01-06 19:27:00,2024-01-06 19:54:00,+00:27,JG
5028,JG,485,B63,B63-683,45685,,2024-01-06 13:52:00,2024-01-06 14:05:00,+00:13,JG,2024-01-06 19:01:00,2024-01-06 20:19:00,+01:18,JG
5029,JG,486,B8,B8-105,39957,,2024-01-06 05:05:00,2024-01-06 04:58:00,-00:06,JG,2024-01-06 06:55:00,2024-01-06 14:07:00,+07:12,JG
5030,JG,486,,B8-105,39957,,2024-01-06 07:38:00,,,,2024-01-06 09:40:00,,,
5031,JG,486,,B8-105,39957,,2024-01-06 10:26:00,,,,2024-01-06 14:01:00,,,
5032,JG,486,B68,B68-980,576084,,2024-01-06 14:48:00,2024-01-06 14:27:00,-00:20,JG,2024-01-06 17:17:00,2024-01-06 16:22:00,-00:54,JG
5033,JG,488,B8,B8-108,658026,,2024-01-06 05:27:00,2024-01-06 04:55:00,-00:31,JG,2024-01-06 10:18:00,2024-01-06 13:24:00,+03:06,JG
5034,JG,488,,B8-108,658026,,2024-01-06 11:02:00,,,,2024-01-06 13:13:00,,,
5035,JG,488,B63,B63-682,41718,,2024-01-06 13:39:00,2024-01-06 13:38:00,-00:00,JG,2024-01-06 17:18:00,2024-01-06 22:40:00,+05:22,JG
5036,JG,488,,B63-682,41718,,2024-01-06 18:08:00,,,,2024-01-06 22:50:00,,,
5037,JG,490,B63,B16-406,703039,,2024-01-06 07:22:00,2024-01-06 07:25:00,+00:03,JG,2024-01-06 10:01:00,2024-01-06 09:52:00,-00:08,JG
5038,JG,490,,B43-463,615106,,2024-01-06 10:07:00,2024-01-06 10:23:00,+00:16,JG,2024-01-06 13:03:00,2024-01-06 14:00:00,+00:57,JG
5039,JG,490,B63,B63-685,45394,,2024-01-06 14:32:00,2024-01-06 14:32:00,+00:00,JG,2024-01-06 19:44:00,2024-01-06 23:31:00,+03:47,JG
5040,JG,490,,B63-685,45394,,2024-01-06 20:24:00,,,,2024-01-06 23:38:00,,,
5041,JG,660,B63,B63-659,511041,,2024-01-06 07:15:00,2024-01-06 07:12:00,-00:02,JG,2024-01-06 10:25:00,2024-01-06 10:05:00,-00:19,JG
5042,JG,660,B11,B11-309,45920,,2024-01-06 11:04:00,2024-01-06 11:16:00,+00:12,JG,2024-01-06 16:32:00,2024-01-06 19:12:00,+02:40,JG
5043,JG,660,,B11-309,45920,,2024-01-06 17:12:00,,,,2024-01-06 19:09:00,,,
5044,JG,661,B43,B43-457,832103,,2024-01-06 07:37:00,2024-01-06 07:39:00,+00:02,JG,2024-01-06 12:48:00,2024-01-06 13:36:00,+00:48,JG
5045,JG,661,,B43-457,832103,,2024-01-06 13:28:00,2024-01-06 14:41:00,+01:13,JG,2024-01-06 16:25:00,2024-01-06 16:42:00,+00:17,JG
5046,JG,661,,B61-821,46420,,2024-01-06 17:07:00,2024-01-06 17:11:00,+00:04,JG,2024-01-06 19:09:00,2024-01-07 00:56:00,+05:47,JG
5047,JG,661,,B61-821,46420,,2024-01-06 19:50:00,,,,2024-01-07 00:50:00,,,
5048,JG,662,B67,B6769-902,57633,,2024-01-06 06:04:00,2024-01-06 05:59:00,-00:04,JG,2024-01-06 17:08:00,2024-01-06 17:05:00,-00:02,JG
5049,JG,662,,B68-980,576084,,2024-01-06 18:07:00,2024-01-06 18:07:00,+00:00,JG,2024-01-06 22:46:00,2024-01-06 22:48:00,+00:02,JG
5050,JG,663,,B63-680,44931,,2024-01-06 13:13:00,,,,2024-01-06 18:28:00,,,
5051,JG,663,,B63-680,44931,,2024-01-06 19:11:00,,,,2024-01-06 22:26:00,,,
5053,JG,665,B8,B8-127,511124,,2024-01-06 15:50:00,2024-01-06 16:42:00,+00:52,JG,2024-01-06 20:56:00,2024-01-06 21:43:00,+00:47,JG
5057,JG,666,B63,B63-688,46557,,2024-01-06 15:30:00,2024-01-06 15:19:00,-00:10,JG,2024-01-06 17:50:00,2024-01-07 01:06:00,+07:16,JG
5058,JG,666,,B63-688,46557,,2024-01-06 18:55:00,,,,2024-01-07 00:33:00,,,
5059,JG,667,B8,B8-106,206041,,2024-01-06 05:07:00,2024-01-06 05:17:00,+00:10,JG,2024-01-06 08:00:00,2024-01-06 08:16:00,+00:16,JG
5060,JG,667,B63,B37-605,47081,,2024-01-06 10:35:00,2024-01-06 10:26:00,-00:08,JG,2024-01-06 16:50:00,2024-01-06 16:50:00,+00:00,JG
5061,JG,667,B43,B43-473,43751,,2024-01-06 17:37:00,2024-01-06 17:49:00,+00:12,JG,2024-01-06 22:31:00,2024-01-06 22:46:00,+00:15,JG
5062,JG,668,,B68-962,503038,,2024-01-06 06:39:00,2024-01-06 06:49:00,+00:10,JG,2024-01-06 15:24:00,2024-01-06 15:25:00,+00:01,JG
5063,JG,668,,B16-415,47177,,2024-01-06 16:22:00,2024-01-06 15:51:00,-00:30,JG,2024-01-06 19:11:00,2024-01-07 01:40:00,+06:29,JG
5064,JG,668,,B16-415,47177,,2024-01-06 20:05:00,,,,2024-01-07 01:23:00,,,
5065,JG,669,B68,B68-961,46332,,2024-01-06 06:29:00,2024-01-06 06:57:00,+00:28,JG,2024-01-06 17:25:00,2024-01-06 17:21:00,-00:03,JG
5066,JG,669,B8,B8-136,45593,,2024-01-06 18:36:00,2024-01-06 19:25:00,+00:49,JG,2024-01-06 23:29:00,2024-01-06 23:25:00,-00:03,JG
5067,JG,669,B43,B43-473,43751,,2024-01-06 23:12:00,2024-01-06 23:38:00,+00:26,JG,2024-01-07 01:30:00,2024-01-07 01:29:00,-00:00,JG
5068,JG,670,B61,B61-804,73058,,2024-01-06 04:50:00,2024-01-06 04:52:00,+00:02,JG,2024-01-06 06:27:00,2024-01-06 14:24:00,+07:57,JG
5069,JG,670,,B61-804,73058,,2024-01-06 07:25:00,,,,2024-01-06 09:20:00,,,
5070,JG,670,,B61-804,73058,,2024-01-06 10:33:00,,,,2024-01-06 14:31:00,,,
5071,JG,670,B37,B63-687,46463,,2024-01-06 15:00:00,2024-01-06 14:58:00,-00:01,JG,2024-01-06 17:20:00,2024-01-07 00:38:00,+07:18,JG
5072,JG,670,,B63-687,46463,,2024-01-06 18:23:00,,,,2024-01-07 00:14:00,,,
5073,JG,671,B8,B8-118,56039,,2024-01-06 12:20:00,2024-01-06 08:15:00,-04:04,JG,2024-01-06 17:20:00,2024-01-06 17:19:00,-00:00,JG
5074,JG,672,B70,B63-657,26988,,2024-01-06 05:16:00,2024-01-06 05:04:00,-00:11,JG,2024-01-06 08:18:00,2024-01-06 08:17:00,-00:00,JG
5075,JG,672,B63,B8-120,807086,,2024-01-06 08:50:00,2024-01-06 08:53:00,+00:03,JG,2024-01-06 10:54:00,2024-01-06 11:09:00,+00:15,JG
5076,JG,672,B61,B61-816,807056,,2024-01-06 11:58:00,2024-01-06 11:43:00,-00:14,JG,2024-01-06 16:07:00,2024-01-06 20:49:00,+04:42,JG
5077,JG,672,,B61-816,807056,,2024-01-06 16:52:00,,,,2024-01-06 20:51:00,,,
5078,JG,672,,B68-981,46069,,2024-01-06 21:20:00,,,,2024-01-06 23:38:00,,,
5079,JG,744,B43,B43-455,164482,,2024-01-06 04:57:00,2024-01-06 04:59:00,+00:02,JG,2024-01-06 09:11:00,2024-01-06 18:31:00,+09:20,JG
5080,JG,744,,B43-455,164482,,2024-01-06 10:35:00,,,,2024-01-06 14:09:00,,,
5082,JG,745,,B8-119,44217,,2024-01-06 13:59:00,2024-01-06 05:05:00,-08:53,JG,2024-01-06 17:23:00,2024-01-06 17:37:00,+00:14,JG
5083,JG,745,,B8-119,44217,,2024-01-06 08:11:00,,,,2024-01-06 13:18:00,,,
5085,JG,747,B8,B8-107,435104,,2024-01-06 10:50:00,2024-01-06 11:17:00,+00:27,JG,2024-01-06 14:21:00,2024-01-06 14:55:00,+00:34,JG
5086,JG,747,B11,B11-314,532034,,2024-01-06 15:48:00,2024-01-06 15:31:00,-00:16,JG,2024-01-06 19:29:00,2024-01-06 20:34:00,+01:05,JG
5087,JG,747,B70,B70-713,529120,,2024-01-06 21:26:00,2024-01-06 21:35:00,+00:09,JG,2024-01-07 01:51:00,2024-01-07 01:47:00,-00:03,JG
5088,JG,748,B63,B37-608,385093,,2024-01-06 15:10:00,2024-01-06 15:05:00,-00:04,JG,2024-01-06 18:45:00,2024-01-07 00:40:00,+05:55,JG
5089,JG,748,,B37-608,385093,,2024-01-06 20:00:00,,,,2024-01-07 00:48:00,,,
5090,JG,751,B16,B16-403,122031,,2024-01-06 05:57:00,2024-01-06 06:05:00,+00:08,JG,2024-01-06 11:29:00,2024-01-06 15:03:00,+03:34,JG
5091,JG,751,,B16-403,122031,,2024-01-06 12:16:00,,,,2024-01-06 15:13:00,,,
5092,JG,751,B8,B8-138,47867,,2024-01-06 16:20:00,2024-01-06 16:23:00,+00:03,JG,2024-01-06 21:11:00,2024-01-07 00:55:00,+03:44,JG
5093,JG,751,,B8-138,47867,,2024-01-06 21:50:00,,,,2024-01-07 00:43:00,,,
5094,JG,752,B11,B11-305,529116,,2024-01-06 06:19:00,2024-01-06 06:22:00,+00:03,JG,2024-01-06 11:29:00,2024-01-06 12:05:00,+00:36,JG
5095,JG,752,B63,B63-679,887156,,2024-01-06 12:23:00,2024-01-06 12:26:00,+00:03,JG,2024-01-06 17:42:00,2024-01-06 20:14:00,+02:32,JG
5096,JG,752,,B63-683,45685,,2024-01-06 19:44:00,,,,2024-01-06 23:01:00,,,
5097,JG,752,B63,B63-679,887156,,2024-01-06 18:30:00,2024-01-06 21:06:00,+02:36,JG,2024-01-06 20:34:00,2024-01-06 23:04:00,+02:30,JG
5098,JG,752,B63,B8-140,47072,,2024-01-06 22:45:00,2024-01-06 23:49:00,+01:04,JG,2024-01-07 01:36:00,2024-01-07 02:14:00,+00:38,JG
5100,JG,753,B63,B63-661,466012,,2024-01-06 07:50:00,2024-01-06 08:00:00,+00:10,JG,2024-01-06 12:48:00,2024-01-06 12:44:00,-00:03,JG
5101,JG,753,B63,B63-678,567364,,2024-01-06 12:21:00,2024-01-06 13:11:00,+00:50,JG,2024-01-06 15:49:00,2024-01-06 17:24:00,+01:35,JG
5102,JG,753,,B63-661,466012,,2024-01-06 13:51:00,,,,2024-01-06 17:17:00,,,
5104,JG,754,B70,B70-703,46815,,2024-01-06 06:28:00,2024-01-06 06:39:00,+00:11,JG,2024-01-06 11:19:00,2024-01-06 11:30:00,+00:11,JG
5105,JG,754,B63,B16-410,44576,,2024-01-06 11:55:00,2024-01-06 11:43:00,-00:11,JG,2024-01-06 17:34:00,2024-01-06 21:16:00,+03:42,JG
5106,JG,754,,B16-410,44576,,2024-01-06 18:17:00,,,,2024-01-06 20:57:00,,,
5107,JG,755,B63,B63-654,720056,,2024-01-06 04:25:00,2024-01-06 04:40:00,+00:15,JG,2024-01-06 09:19:00,2024-01-06 13:41:00,+04:22,JG
5108,JG,755,,B63-654,720056,,2024-01-06 10:11:00,,,,2024-01-06 13:46:00,,,
5109,JG,755,B9,B9-219,46568,,2024-01-06 13:45:00,2024-01-06 13:49:00,+00:04,JG,2024-01-06 18:53:00,2024-01-06 19:18:00,+00:25,JG
5110,JG,757,B8,B8-103,41550,,2024-01-06 04:13:00,2024-01-06 04:05:00,-00:07,JG,2024-01-06 05:59:00,2024-01-06 21:40:00,+15:41,JG
5111,JG,757,,B8-103,41550,,2024-01-06 06:59:00,,,,2024-01-06 12:05:00,,,
5112,JG,757,,B11-313,41550,,2024-01-06 12:58:00,,,,2024-01-06 18:29:00,,,
5113,JG,757,,B11-313,41550,,2024-01-06 19:12:00,,,,2024-01-06 21:09:00,,,
5114,JG,758,B9,B9-211,46723,,2024-01-06 07:56:00,2024-01-06 08:10:00,+00:14,JG,2024-01-06 10:19:00,2024-01-07 01:07:00,+14:48,JG
5115,JG,758,,B9-211,46723,,2024-01-06 11:06:00,,,,2024-01-06 16:13:00,,,
5116,JG,758,,B70-712,46723,,2024-01-06 16:36:00,,,,2024-01-06 21:44:00,,,
5117,JG,758,,B70-712,46723,,2024-01-06 22:34:00,,,,2024-01-07 01:17:00,,,
5118,JG,759,,B9-212,44570,,2024-01-06 09:08:00,2024-01-06 20:46:00,-12:21,JG,2024-01-06 11:55:00,2024-01-07 08:59:00,-02:55,JG
5119,JG,759,B9,B9-212,44570,,2024-01-06 12:34:00,2024-01-06 09:01:00,-03:32,JG,2024-01-06 17:41:00,2024-01-06 18:00:00,+00:19,JG
5121,JG,760,B63,B70-707,46418,,2024-01-06 11:06:00,2024-01-06 10:44:00,-00:21,JG,2024-01-06 16:19:00,2024-01-06 20:13:00,+03:54,JG
5122,JG,760,,B70-707,46418,,2024-01-06 17:06:00,,,,2024-01-06 20:21:00,,,
5123,JG,760,,B43-469,759113,,2024-01-06 19:37:00,,,,2024-01-07 00:22:00,,,
5125,JG,761,Q107,B70-714,757660,,2024-01-06 17:30:00,2024-01-06 17:34:00,+00:04,JG,2024-01-06 21:03:00,2024-01-07 02:17:00,+05:14,JG
5126,JG,761,,B70-714,757660,,2024-01-06 21:56:00,,,,2024-01-07 02:26:00,,,
5127,JG,762,B68,B68-976,47836,,2024-01-06 13:56:00,2024-01-06 13:56:00,+00:00,JG,2024-01-06 23:01:00,2024-01-06 22:51:00,-00:09,JG
5128,JG,764,B43,B43-464,45450,,2024-01-06 11:07:00,2024-01-06 11:08:00,+00:01,JG,2024-01-06 14:03:00,2024-01-06 20:01:00,+05:58,JG
5129,JG,764,,B43-464,45450,,2024-01-06 14:40:00,,,,2024-01-06 19:54:00,,,
5130,JG,768,,B9-214,850039,,2024-01-06 09:56:00,,,,2024-01-06 12:42:00,,,
5131,JG,768,,B9-214,850039,,2024-01-06 13:35:00,,,,2024-01-06 18:41:00,,,
5132,JG,768,B9,B9-220,916603,,2024-01-06 20:05:00,2024-01-06 20:36:00,+00:31,JG,2024-01-06 22:43:00,2024-01-06 23:04:00,+00:21,JG
5133,JG,768,,B43-474,47716,,2024-01-06 00:12:00,,,,2024-01-06 02:19:00,,,
5134,JG,769,B61,B61-815,40160,,2024-01-06 11:37:00,2024-01-06 11:35:00,-00:01,JG,2024-01-06 13:43:00,2024-01-06 21:16:00,+07:33,JG
5135,JG,769,,B61-815,40160,,2024-01-06 14:22:00,,,,2024-01-06 18:29:00,,,
5136,JG,769,,B61-815,40160,,2024-01-06 19:10:00,,,,2024-01-06 21:04:00,,,
5137,JG,770,B9,B9-204,337124,,2024-01-06 05:57:00,2024-01-06 06:01:00,+00:04,JG,2024-01-06 07:59:00,2024-01-06 14:05:00,+06:06,JG
5138,JG,770,,B9-204,337124,,2024-01-06 08:56:00,,,,2024-01-06 14:06:00,,,
5139,JG,770,,B61-817,47889,,2024-01-06 14:34:00,2024-01-06 14:19:00,-00:14,JG,2024-01-06 16:43:00,2024-01-06 23:36:00,+06:53,JG
5140,JG,770,,B61-817,47889,,2024-01-06 18:22:00,,,,2024-01-06 23:39:00,,,
5141,JG,771,B68,B68-956,835635,,2024-01-06 05:20:00,2024-01-06 05:17:00,-00:02,JG,2024-01-06 13:56:00,2024-01-06 14:07:00,+00:11,JG
5142,JG,771,B9,B9-222,44545,,2024-01-06 14:27:00,2024-01-06 14:21:00,-00:05,JG,2024-01-06 19:41:00,2024-01-06 23:03:00,+03:22,JG
5143,JG,771,,B9-222,44545,,2024-01-06 20:40:00,,,,2024-01-06 23:19:00,,,
5144,JG,772,,B63-663,42318,,2024-01-06 08:21:00,,,,2024-01-06 11:49:00,,,
5145,JG,772,,B63-663,42318,,2024-01-06 12:37:00,,,,2024-01-06 16:15:00,,,
5146,JG,772,,B4-10,809132,,2024-01-06 16:45:00,,,,2024-01-06 18:50:00,,,
5148,JG,776,,B8-137,750216,,2024-01-06 16:10:00,2024-01-06 16:18:00,+00:08,JG,2024-01-06 21:19:00,2024-01-06 23:48:00,+02:29,JG
5149,JG,776,,B8-137,750216,,2024-01-06 22:03:00,,,,2024-01-06 23:58:00,,,
5150,JG,777,,B9-208,80015,,2024-01-06 07:02:00,2024-01-06 07:11:00,+00:09,JG,2024-01-06 11:32:00,2024-01-06 15:20:00,+03:48,JG
5151,JG,777,,B9-208,80015,,2024-01-06 12:23:00,,,,2024-01-06 15:13:00,,,
5152,JG,777,B70,B63-669,851013,,2024-01-06 16:06:00,2024-01-06 16:37:00,+00:31,JG,2024-01-06 19:32:00,2024-01-06 19:30:00,-00:01,JG
5153,JG,782,,B68-984,921131,,2024-01-06 22:25:00,2024-01-06 22:11:00,-00:13,JG,2024-01-07 00:32:00,2024-01-07 01:32:00,-22:59,JG
5155,JG,782,,B68-975,139019,,2024-01-06 13:39:00,2024-01-06 13:16:00,-00:22,JG,2024-01-06 21:51:00,2024-01-06 21:57:00,+00:06,JG
5157,JG,783,B4,B4-11,369964,,2024-01-06 18:25:00,2024-01-06 11:23:00,-07:01,JG,2024-01-06 20:30:00,2024-01-06 20:43:00,+00:13,JG
5158,JG,783,B4,B4-11,369964,,2024-01-06 11:30:00,,,,2024-01-06 13:30:00,2024-01-06 11:22:00,-02:07,JG
5159,JG,783,,B4-11,369964,,2024-01-06 14:25:00,,,,2024-01-06 17:30:00,,,
5160,JG,783,,B8-141,47183,,2024-01-06 21:08:00,,,,2024-01-06 23:06:00,,,
5161,JG,783,,B8-141,47183,,2024-01-06 00:30:00,,,,2024-01-06 02:11:00,,,
5162,JG,784,B63,B63-657,26988,,2024-01-06 09:00:00,2024-01-06 08:50:00,-00:09,JG,2024-01-06 14:03:00,2024-01-06 14:03:00,+00:00,JG
5163,JG,784,B63,B63-684,46045,,2024-01-06 14:11:00,2024-01-06 14:22:00,+00:11,JG,2024-01-06 17:50:00,2024-01-06 21:52:00,+04:02,JG
5164,JG,784,,B63-684,46045,,2024-01-06 18:39:00,,,,2024-01-06 21:59:00,,,
5165,JG,784,,B68-982,409053,,2024-01-06 21:04:00,,,,2024-01-07 00:38:00,,,
5167,JG,785,B68,B6769-906,463043,,2024-01-06 08:04:00,2024-01-06 08:12:00,+00:08,JG,2024-01-06 14:52:00,2024-01-06 14:49:00,-00:02,JG
5168,JG,785,B67,B6769-911,47164,,2024-01-06 15:24:00,2024-01-06 15:27:00,+00:03,JG,2024-01-06 23:28:00,2024-01-06 23:48:00,+00:20,JG
5170,JG,786,B8,B8-121,42121,,2024-01-06 09:02:00,2024-01-06 09:09:00,+00:07,JG,2024-01-06 14:13:00,2024-01-06 14:14:00,+00:01,JG
5171,JG,786,B8,B8-121,42121,,2024-01-06 14:59:00,2024-01-06 14:26:00,-00:32,JG,2024-01-06 17:10:00,2024-01-06 17:17:00,+00:07,JG
5172,JG,786,B63,B37-605,47081,,2024-01-06 18:00:00,2024-01-06 18:45:00,+00:45,JG,2024-01-06 20:09:00,2024-01-06 20:19:00,+00:10,JG
5173,JG,787,B69,B6769-905,43323,,2024-01-06 07:49:00,2024-01-06 07:50:00,+00:01,JG,2024-01-06 21:21:00,2024-01-06 21:36:00,+00:15,JG
5174,JG,787,B68,B6769-912,47936,,2024-01-06 21:40:00,2024-01-06 22:14:00,+00:34,JG,2024-01-07 01:37:00,2024-01-07 02:14:00,+00:37,JG
5175,JG,789,B37,B37-609,44484,,2024-01-06 16:00:00,2024-01-06 16:05:00,+00:05,JG,2024-01-06 18:20:00,2024-01-07 00:43:00,+06:23,JG
5176,JG,789,,B37-609,44484,,2024-01-06 19:00:00,,,,2024-01-07 00:43:00,,,
5178,JG,790,B63,B16-406,703039,,2024-01-06 10:55:00,2024-01-06 10:58:00,+00:03,JG,2024-01-06 16:34:00,2024-01-06 16:46:00,+00:12,JG
5179,JG,790,B43,B16-416,47958,,2024-01-06 17:22:00,2024-01-06 17:20:00,-00:01,JG,2024-01-06 20:09:00,2024-01-06 20:49:00,+00:40,JG
5180,JG,790,,B16-416,47958,,2024-01-06 20:59:00,,,,2024-01-07 02:00:00,,,
5181,JG,791,B43,B43-465,38774,,2024-01-06 11:22:00,2024-01-06 11:20:00,-00:01,JG,2024-01-06 16:49:00,2024-01-06 20:32:00,+03:43,JG
5182,JG,791,,B43-465,38774,,2024-01-06 17:47:00,,,,2024-01-06 20:15:00,,,
5184,JG,792,B4,B4-21,47168,,2024-01-06 17:25:00,2024-01-06 17:26:00,+00:01,JG,2024-01-06 20:30:00,2024-01-06 20:18:00,-00:11,JG
5185,JG,793,B9,B9-216,41565,,2024-01-06 11:50:00,2024-01-06 11:47:00,-00:02,JG,2024-01-06 14:42:00,2024-01-06 19:09:00,+04:27,JG
5186,JG,793,,B9-216,41565,,2024-01-06 15:27:00,,,,2024-01-06 20:33:00,,,
5188,JG,794,B67,B6769-901,446112,,2024-01-06 04:19:00,2024-01-06 04:11:00,-00:07,JG,2024-01-06 07:05:00,2024-01-06 07:06:00,+00:01,JG
5189,JG,794,B63,B63-662,45265,,2024-01-06 08:19:00,2024-01-06 08:15:00,-00:03,JG,2024-01-06 18:05:00,2024-01-06 17:57:00,-00:07,JG
5190,JG,794,B11,B11-316,776081,,2024-01-06 20:00:00,2024-01-06 20:10:00,+00:10,JG,2024-01-07 01:24:00,2024-01-07 02:02:00,+00:38,JG
5191,JG,795,B8,B8-110,43500,,2024-01-06 05:47:00,2024-01-06 05:55:00,+00:08,JG,2024-01-06 07:39:00,2024-01-06 15:19:00,+07:40,JG
5192,JG,795,,B8-110,43500,,2024-01-06 08:26:00,,,,2024-01-06 11:53:00,,,
5193,JG,795,,B8-110,43500,,2024-01-06 12:38:00,,,,2024-01-06 14:49:00,,,
5194,JG,795,B63,B63-676,46358,,2024-01-06 16:02:00,2024-01-06 16:37:00,+00:35,JG,2024-01-06 19:35:00,2024-01-06 20:04:00,+00:29,JG
5195,JG,797,B63,B63-677,42301,,2024-01-06 12:01:00,2024-01-06 11:55:00,-00:05,JG,2024-01-06 15:35:00,2024-01-06 19:34:00,+03:59,JG
5196,JG,797,,B63-677,42301,,2024-01-06 16:18:00,,,,2024-01-06 19:54:00,,,
5197,JG,799,B63,B63-673,25039,,2024-01-06 11:10:00,2024-01-06 10:56:00,-00:13,JG,2024-01-06 14:47:00,2024-01-06 19:01:00,+04:14,JG
5198,JG,799,,B63-673,25039,,2024-01-06 15:37:00,,,,2024-01-06 19:10:00,,,
5199,JG,799,,B8-131,47204,,2024-01-06 19:36:00,,,,2024-01-06 22:52:00,,,
5200,JG,800,,B43-461,122024,,2024-01-06 12:40:00,2024-01-06 20:39:00,-16:00,JG,2024-01-06 18:10:00,2024-01-07 18:11:00,+00:01,JG
5201,JG,800,,B43-461,122024,,2024-01-06 08:52:00,,,,2024-01-06 11:45:00,,,
5203,JG,801,,B63-672,194008,,2024-01-06 10:54:00,2024-01-06 10:54:00,+00:00,JG,2024-01-06 16:07:00,2024-01-06 16:08:00,+00:01,JG
5204,JG,801,B61,B61-820,435101,,2024-01-06 16:37:00,2024-01-06 16:54:00,+00:17,JG,2024-01-06 18:41:00,2024-01-06 19:15:00,+00:34,JG
5206,JG,802,B70,B70-705,350026,,2024-01-06 07:21:00,2024-01-06 07:14:00,-00:06,JG,2024-01-06 12:19:00,2024-01-06 17:06:00,+04:47,JG
5207,JG,802,,B70-705,350026,,2024-01-06 13:21:00,,,,2024-01-06 16:47:00,,,
5208,JG,802,B8,B8-143,756302,,2024-01-06 18:10:00,2024-01-06 18:07:00,-00:02,JG,2024-01-06 21:26:00,2024-01-07 02:46:00,+05:20,JG
5209,JG,802,,B8-143,756302,,2024-01-06 22:10:00,,,,2024-01-07 02:48:00,,,
5210,JG,803,,B68-965,57057,,2024-01-06 08:22:00,2024-01-06 08:22:00,+00:00,JG,2024-01-06 15:08:00,2024-01-06 15:23:00,+00:15,JG
5211,JG,803,B11,B11-315,47927,,2024-01-06 16:18:00,2024-01-06 16:17:00,-00:00,JG,2024-01-06 18:14:00,2024-01-07 00:17:00,+06:03,JG
5212,JG,804,,B6769-904,747016,,2024-01-06 07:04:00,2024-01-06 07:07:00,+00:03,JG,2024-01-06 20:36:00,2024-01-06 20:50:00,+00:14,JG
