,UTS Depot,Bus,Route,Run,Operator,Unscheduled PO ,Scheduled PO,Actual PO,PO Diff,PO Depot ,Scheduled PI,Actual PI,PI diff,Depot PI
6552,MV,9616,,M02-203,592035,,2024-01-06 04:21:00,,,,2024-01-07 00:16:00,,,
6555,MV,9618,,M10-14,146036,,2024-01-06 12:23:00,,,,2024-01-06 22:44:00,,,
6557,MV,9619,,M10-12,36887,,2024-01-06 11:53:00,,,,2024-01-07 01:37:00,,,
6559,MV,9637,M4,M04-423,921104,,2024-01-06 09:21:00,2024-01-06 09:19:00,-00:01,MV,2024-01-06 21:04:00,,,
6560,MV,9639,M4,M04-406,45855,,2024-01-06 06:43:00,2024-01-06 06:27:00,-00:15,MV,2024-01-06 23:49:00,,,
6561,MV,9686,,M05-525,104368,,2024-01-06 09:30:00,,,,2024-01-06 18:31:00,,,
6565,MV,9706,M3,M03-308,32985,,2024-01-06 12:13:00,2024-01-06 12:17:00,+00:04,MV,2024-01-06 21:54:00,2024-01-06 22:46:00,+00:52,MV
6567,MV,9709,M10,M10-8,45578,,2024-01-06 09:08:00,2024-01-06 09:00:00,-00:07,MV,2024-01-06 21:07:00,,,
6568,MV,9741,,M05-532,454042,,2024-01-06 11:36:00,,,,2024-01-06 17:53:00,,,
6570,MV,9744,,M03-301,42128,,2024-01-06 05:14:00,2024-01-06 05:19:00,+00:05,MV,2024-01-06 20:59:00,,,
6571,MV,9747,,M05-504,970119,,2024-01-06 05:30:00,,,,2024-01-07 01:11:00,,,
6573,MV,9758,M3,M03-312,385083,,2024-01-06 07:34:00,2024-01-06 07:37:00,+00:03,MV,2024-01-07 00:06:00,,,
6574,MV,9759,M96,M96-801,38695,,2024-01-06 00:45:00,2024-01-06 00:50:00,+00:05,MV,2024-01-06 09:25:00,2024-01-06 13:18:00,+03:53,MV
6576,MV,9761,,M03-303,35963,,2024-01-06 05:54:00,,,,2024-01-07 00:49:00,,,
6579,MV,9764,M3,M03-314,45720,,2024-01-06 08:09:00,2024-01-06 07:54:00,-00:14,MV,2024-01-06 21:33:00,,,
6581,MV,9767,M104,M104-105,32101,,2024-01-06 11:19:00,2024-01-06 11:23:00,+00:04,MV,2024-01-06 20:46:00,2024-01-06 13:28:00,-07:17,AM
6585,MV,9769,,M10-6,778153,,2024-01-06 08:23:00,,,,2024-01-07 01:54:00,,,
6586,MV,977,,M05-529,46485,,2024-01-06 11:01:00,,,,2024-01-06 20:14:00,,,
6587,MV,9771,M96,M96-802,27304,,2024-01-06 04:40:00,,,,2024-01-06 18:15:00,2024-01-06 18:29:00,+00:14,MV
6589,MV,9772,M11,M11-619,39477,,2024-01-06 10:38:00,2024-01-06 10:33:00,-00:04,MV,2024-01-06 19:07:00,,,
6591,MV,9773,,M104-131,824108,,2024-01-06 12:31:00,2024-01-06 12:26:00,-00:04,MV,2024-01-06 22:10:00,2024-01-06 17:25:00,-04:44,AM
6593,MV,9775,,M104-108,45592,,2024-01-06 07:59:00,2024-01-06 07:58:00,-00:00,MV,2024-01-06 17:21:00,2024-01-06 10:04:00,-07:16,AM
6598,MV,9776,,M104-110,45460,,2024-01-06 08:28:00,,,,2024-01-06 17:41:00,,,
6599,MV,9777,,M03-303,35963,,2024-01-06 10:57:00,,,,2024-01-06 20:53:00,,,
6601,MV,9780,M104,M104-112,41608,,2024-01-06 08:45:00,2024-01-06 08:46:00,+00:01,MV,2024-01-07 00:40:00,2024-01-06 10:52:00,-13:47,AM
6604,MV,9784,,M10-5,33523,,2024-01-06 07:00:00,,,,2024-01-06 19:01:00,,,
6605,MV,9785,,M10-1,44761,,2024-01-06 05:15:00,,,,2024-01-06 20:25:00,,,
6606,MV,9786,,M02-209,337053,,2024-01-06 07:26:00,,,,2024-01-07 00:58:00,,,
6608,MV,9787,M104,M104-121,42099,,2024-01-06 11:12:00,2024-01-06 11:04:00,-00:07,MV,2024-01-06 18:14:00,2024-01-06 11:07:00,-07:06,AM
6611,MV,9788,M3,M03-306,819008,,2024-01-06 06:48:00,2024-01-06 06:52:00,+00:04,MV,2024-01-07 01:30:00,,,
6613,MV,9790,M116,M116-707,46728,,2024-01-06 10:04:00,2024-01-06 10:05:00,+00:01,MV,2024-01-06 16:02:00,2024-01-06 16:26:00,+00:24,MV
6615,MV,9792,,M116-704,681007,,2024-01-06 07:10:00,,,,2024-01-06 16:53:00,,,
6616,MV,9792,M116,M116-704,41039,,2024-01-06 07:10:00,2024-01-06 07:20:00,+00:10,MV,2024-01-06 16:53:00,,,
6617,MV,9793,,M02-207,40028,,2024-01-06 06:55:00,,,,2024-01-07 00:35:00,,,
6619,MV,9797,M96,M96-804,30022,,2024-01-06 06:28:00,2024-01-06 06:21:00,-00:06,MV,2024-01-06 19:37:00,,,
6620,MV,9798,,M10-11,46533,,2024-01-06 11:11:00,,,,2024-01-07 02:20:00,,,
6622,MV,9802,,M11-603,428089,,2024-01-06 11:23:00,2024-01-06 11:28:00,+00:05,MV,2024-01-06 19:46:00,,,
6624,MV,9803,M104,M104-111,28324,,2024-01-06 08:37:00,2024-01-06 08:42:00,+00:05,MV,2024-01-06 20:20:00,2024-01-06 10:48:00,-09:31,AM
6628,MV,9805,,M04-424,46416,,2024-01-06 09:42:00,,,,2024-01-07 00:06:00,,,
6629,MV,9807,,M04-405,40507,,2024-01-06 06:31:00,,,,2024-01-06 20:46:00,,,
6631,MV,9808,M5,M05-508,31587,,2024-01-06 06:47:00,2024-01-06 06:42:00,-00:04,MV,2024-01-06 18:49:00,,,
6632,MV,9809,,M104-105,32101,,2024-01-06 06:42:00,,,,2024-01-06 22:23:00,,,
6636,MV,9811,,M03-304,45463,,2024-01-06 06:14:00,2024-01-06 06:23:00,+00:09,MV,2024-01-07 01:00:00,,,
6637,MV,9812,,M05-505,587011,,2024-01-06 05:55:00,,,,2024-01-06 17:23:00,,,
6638,MV,9814,,M04-403,44839,,2024-01-06 06:03:00,,,,2024-01-06 23:04:00,,,
6639,MV,9814,,M04-403,422008,,2024-01-06 06:03:00,,,,2024-01-06 23:04:00,,,
6640,MV,9815,,M02-219,780079,,2024-01-06 14:32:00,,,,2024-01-06 18:13:00,,,
6641,MV,9822,,M04-404,35938,,2024-01-06 06:18:00,,,,2024-01-06 23:34:00,,,
6643,MV,9826,M104,M104-122,6861,,2024-01-06 11:37:00,2024-01-06 14:05:00,+02:28,AM,2024-01-06 21:12:00,2024-01-06 16:17:00,-04:54,AM
6646,MV,9827,M104,M104-123,12000,,2024-01-06 11:55:00,2024-01-06 11:58:00,+00:03,MV,2024-01-06 23:32:00,2024-01-06 16:35:00,-06:56,AM
6651,MV,9829,M104,M104-106,350019,,2024-01-06 07:27:00,2024-01-06 07:36:00,+00:09,AM,2024-01-07 01:20:00,2024-01-06 09:22:00,-15:57,AM
6658,MV,9834,M5,M05-503,756026,,2024-01-06 05:30:00,2024-01-06 05:15:00,-00:14,MV,2024-01-06 19:30:00,,,
6659,MV,9835,,M04-401,34146,,2024-01-06 11:34:00,,,,2024-01-06 20:05:00,,,
6660,MV,9835,,M11-621,636069,,2024-01-06 11:50:00,,,,2024-01-07 00:15:00,,,
6661,MV,9838,M2,M02-206,34468,,2024-01-06 06:48:00,2024-01-06 06:50:00,+00:02,MV,2024-01-06 18:34:00,,,
6663,MV,9841,M104,M104-124,807079,,2024-01-06 12:07:00,2024-01-06 12:09:00,+00:02,MV,2024-01-07 01:30:00,2024-01-06 14:19:00,-11:10,AM
6667,MV,9843,,M05-501,101000,,2024-01-06 04:35:00,,,,2024-01-06 21:13:00,,,
6669,MV,9846,M3,M03-328,45891,,2024-01-06 10:29:00,2024-01-06 10:38:00,+00:09,MV,2024-01-06 20:32:00,,,
6670,MV,9847,,M02-223,708019,,2024-01-06 11:02:00,,,,2024-01-06 23:43:00,,,
6671,MV,9849,,M05-506,217164,,2024-01-06 06:15:00,,,,2024-01-06 18:13:00,,,
6673,MV,9853,M96,M96-809,761682,,2024-01-06 08:58:00,2024-01-06 08:50:00,-00:07,MV,2024-01-07 00:32:00,,,
6674,MV,9854,,M03-305,40893,,2024-01-06 06:27:00,,,,2024-01-07 01:15:00,,,
6676,MV,9855,M3,M03-313,472062,,2024-01-06 07:56:00,2024-01-06 07:58:00,+00:02,MV,2024-01-07 00:19:00,,,
